claim_id,policy_id,claimant_id,repair_shop_id,policy_start_date,incident_date,claim_report_date,claim_type,damage_area,estimated_repair_cost,incident_city,prior_claims_12m,linked_claims_same_phone,linked_claims_same_repair_shop,claimant_narrative,adjuster_note,fraud_pattern_type,is_suspicious
CLM-00691,POL-5974,CUST-8976,SHOP-010,2024-03-07,2024-03-09,2024-03-10,theft,front,9059,Longueuil,0,0,39,My car was stolen in Longueuil and later found with damage.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00087,POL-7626,CUST-7843,SHOP-010,2024-04-27,2025-07-15,2025-07-15,theft,rear,11564,Gatineau,1,0,2,I discovered my vehicle missing in Gatineau and reported it immediately.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00935,POL-5143,CUST-8975,SHOP-013,2025-04-22,2026-01-15,2026-01-17,collision,right side,2034,Quebec City,0,1,29,Another vehicle struck me on the right side in Quebec City.,Inspection found primary damage on the front. Damage pattern does not match the claimant statement.,narrative_inconsistency,1
CLM-00137,POL-1187,CUST-5285,SHOP-021,2025-01-03,2026-01-22,2026-01-23,collision,front,3706,Longueuil,0,0,2,I lost control briefly and damaged the front of my vehicle in Longueuil.,Claim details and visible damage are coherent.,normal,0
CLM-00877,POL-4232,CUST-9115,SHOP-014,2025-12-24,2026-02-03,2026-02-06,theft,front,8625,Laval,2,18,56,My car was stolen in Laval and later found with damage.,Repeated entity pattern detected across recent claims.,repeated_entity,1
CLM-00663,POL-9502,CUST-6201,SHOP-011,2024-06-23,2024-07-01,2024-07-04,collision,right side,11237,Gatineau,1,0,28,I was driving in Gatineau when another vehicle hit the right side of my car.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00937,POL-9302,CUST-3718,SHOP-001,2024-04-13,2024-10-09,2024-10-14,vandalism,left side,1745,Montreal,0,0,33,Another vehicle struck me on the left side in Montreal.,Inspection found primary damage on the rear. Damage pattern does not match the claimant statement.,narrative_inconsistency,1
CLM-00667,POL-2267,CUST-9097,SHOP-028,2025-01-05,2025-01-12,2025-01-16,collision,right side,8319,Quebec City,0,0,31,I lost control briefly and damaged the right side of my vehicle in Quebec City.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00281,POL-4629,CUST-8145,SHOP-009,2025-01-03,2025-04-11,2025-04-16,vandalism,left side,3465,Quebec City,1,0,2,I found damage on the left side of my vehicle while parked in Quebec City.,Observed damage aligns with reported incident details.,normal,0
CLM-00041,POL-9031,CUST-2729,SHOP-014,2025-01-05,2025-12-26,2025-12-29,vandalism,rear,3583,Laval,1,0,2,I found damage on the rear of my vehicle while parked in Laval.,Observed damage aligns with reported incident details.,normal,0
CLM-00750,POL-2269,CUST-3497,SHOP-004,2024-08-09,2024-08-13,2024-08-14,theft,front,8899,Gatineau,1,0,43,I discovered my vehicle missing in Gatineau and reported it immediately.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00085,POL-4612,CUST-7475,SHOP-020,2024-02-26,2024-04-03,2024-04-04,theft,rear,11286,Laval,1,0,2,I discovered my vehicle missing in Laval and reported it immediately.,Observed damage aligns with reported incident details.,normal,0
CLM-00419,POL-1724,CUST-1656,SHOP-016,2025-05-31,2025-07-17,2025-07-20,vandalism,right side,3463,Sherbrooke,0,0,2,I found damage on the right side of my vehicle while parked in Sherbrooke.,Observed damage aligns with reported incident details.,normal,0
CLM-00525,POL-2072,CUST-8932,SHOP-001,2025-02-21,2026-02-10,2026-02-11,collision,left side,3769,Gatineau,0,0,2,I was driving in Gatineau when another vehicle hit the left side of my car.,Claim details and visible damage are coherent.,normal,0
CLM-00053,POL-3870,CUST-8708,SHOP-017,2025-10-29,2026-01-23,2026-01-25,collision,right side,3514,Montreal,1,0,2,I lost control briefly and damaged the right side of my vehicle in Montreal.,Observed damage aligns with reported incident details.,normal,0
CLM-00100,POL-8391,CUST-6727,SHOP-030,2024-01-28,2025-04-26,2025-04-26,theft,left side,6931,Quebec City,0,0,2,I discovered my vehicle missing in Quebec City and reported it immediately.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00114,POL-6912,CUST-7044,SHOP-015,2025-07-18,2025-09-19,2025-09-23,collision,front,3066,Quebec City,1,0,2,Another driver struck my vehicle on the front while I was driving in Quebec City.,Observed damage aligns with reported incident details.,normal,0
CLM-00831,POL-3487,CUST-4372,SHOP-015,2024-05-25,2025-04-02,2025-04-04,collision,front,14735,Longueuil,0,0,28,Another driver struck my vehicle on the front while I was driving in Longueuil.,Repair estimate is significantly above expected range for the reported damage.,inflated_repair,1
CLM-00341,POL-3509,CUST-1827,SHOP-022,2025-02-06,2025-10-22,2025-10-26,vandalism,front,2709,Quebec City,1,0,2,I found damage on the front of my vehicle while parked in Quebec City.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00835,POL-2615,CUST-2555,SHOP-004,2024-09-01,2025-10-05,2025-10-09,vandalism,right side,14661,Sherbrooke,0,0,43,I found damage on the right side of my vehicle while parked in Sherbrooke.,"Observed damage appears moderate, but submitted estimate is unusually high.",inflated_repair,1
CLM-00127,POL-1517,CUST-2800,SHOP-007,2024-01-20,2025-05-15,2025-05-17,theft,rear,8382,Sherbrooke,0,0,2,I discovered my vehicle missing in Sherbrooke and reported it immediately.,Claim details and visible damage are coherent.,normal,0
CLM-00299,POL-1590,CUST-6893,SHOP-008,2025-11-01,2025-12-01,2025-12-02,collision,left side,3136,Longueuil,1,0,2,I lost control briefly and damaged the left side of my vehicle in Longueuil.,Claim details and visible damage are coherent.,normal,0
CLM-00721,POL-4882,CUST-4343,SHOP-011,2025-08-07,2025-08-14,2025-08-18,theft,front,9408,Quebec City,1,0,28,My car was stolen in Quebec City and later found with damage.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00181,POL-4438,CUST-6744,SHOP-028,2025-12-28,2026-03-07,2026-03-12,theft,rear,10047,Laval,0,0,2,My car was stolen in Laval and later found with damage.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00531,POL-6864,CUST-7336,SHOP-006,2025-12-14,2026-01-14,2026-01-14,theft,left side,6580,Quebec City,0,0,2,My car was stolen in Quebec City and later found with damage.,Claim details and visible damage are coherent.,normal,0
CLM-00373,POL-3347,CUST-2609,SHOP-027,2025-06-12,2026-01-01,2026-01-02,collision,front,3681,Quebec City,0,0,2,I was driving in Quebec City when another vehicle hit the front of my car.,Observed damage aligns with reported incident details.,normal,0
CLM-00275,POL-2938,CUST-9762,SHOP-001,2025-10-18,2026-02-17,2026-02-21,collision,front,2097,Longueuil,0,0,2,I lost control briefly and damaged the front of my vehicle in Longueuil.,Claim details and visible damage are coherent.,normal,0
CLM-00236,POL-1120,CUST-9380,SHOP-022,2025-01-18,2025-12-01,2025-12-06,vandalism,left side,2722,Sherbrooke,0,0,2,I found damage on the left side of my vehicle while parked in Sherbrooke.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00628,POL-2109,CUST-8910,SHOP-014,2025-06-20,2025-06-29,2025-07-04,collision,rear,11206,Longueuil,0,0,56,I lost control briefly and damaged the rear of my vehicle in Longueuil.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00473,POL-7895,CUST-9973,SHOP-024,2024-11-30,2025-08-19,2025-08-24,collision,front,4427,Sherbrooke,0,0,2,Another driver struck my vehicle on the front while I was driving in Sherbrooke.,Observed damage aligns with reported incident details.,normal,0
CLM-00094,POL-3463,CUST-6461,SHOP-003,2025-08-19,2026-03-06,2026-03-07,theft,left side,10374,Sherbrooke,1,1,2,My car was stolen in Sherbrooke and later found with damage.,Claim details and visible damage are coherent.,normal,0
CLM-00950,POL-7571,CUST-7848,SHOP-026,2024-08-28,2025-08-09,2025-08-14,theft,rear,6971,Quebec City,0,0,32,Another vehicle struck me on the rear in Quebec City.,Inspection found primary damage on the front. Damage pattern does not match the claimant statement.,narrative_inconsistency,1
CLM-00357,POL-9456,CUST-1807,SHOP-007,2024-10-25,2025-07-07,2025-07-10,theft,left side,8779,Laval,1,0,2,I discovered my vehicle missing in Laval and reported it immediately.,Claim details and visible damage are coherent.,normal,0
CLM-00524,POL-6311,CUST-5225,SHOP-013,2024-05-03,2024-07-25,2024-07-26,collision,rear,3819,Gatineau,1,1,2,I was driving in Gatineau when another vehicle hit the rear of my car.,Observed damage aligns with reported incident details.,normal,0
CLM-00794,POL-9332,CUST-9467,SHOP-013,2025-05-03,2025-08-28,2025-08-30,vandalism,rear,11964,Gatineau,1,0,29,I found damage on the rear of my vehicle while parked in Gatineau.,"Observed damage appears moderate, but submitted estimate is unusually high.",inflated_repair,1
CLM-00885,POL-3082,CUST-6272,SHOP-019,2025-10-09,2026-01-05,2026-01-10,vandalism,rear,2820,Quebec City,2,15,58,My parked car was vandalized in Quebec City and the rear was damaged.,Repeated entity pattern detected across recent claims.,repeated_entity,1
CLM-00793,POL-5831,CUST-3530,SHOP-024,2025-12-12,2026-01-27,2026-01-28,vandalism,left side,10125,Longueuil,0,0,24,My parked car was vandalized in Longueuil and the left side was damaged.,"Observed damage appears moderate, but submitted estimate is unusually high.",inflated_repair,1
CLM-00822,POL-4215,CUST-3061,SHOP-008,2025-06-11,2025-08-13,2025-08-14,collision,front,9512,Sherbrooke,1,0,29,I lost control briefly and damaged the front of my vehicle in Sherbrooke.,"Observed damage appears moderate, but submitted estimate is unusually high.",inflated_repair,1
CLM-00086,POL-3878,CUST-3116,SHOP-013,2025-06-29,2026-01-25,2026-01-26,vandalism,left side,1795,Quebec City,0,0,2,I found damage on the left side of my vehicle while parked in Quebec City.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00064,POL-4804,CUST-8555,SHOP-021,2024-09-17,2026-01-30,2026-02-01,vandalism,front,3705,Longueuil,0,0,2,My parked car was vandalized in Longueuil and the front was damaged.,Observed damage aligns with reported incident details.,normal,0
CLM-00481,POL-7076,CUST-3166,SHOP-029,2025-07-26,2025-09-04,2025-09-08,collision,left side,2195,Gatineau,1,0,2,I lost control briefly and damaged the left side of my vehicle in Gatineau.,Observed damage aligns with reported incident details.,normal,0
CLM-00562,POL-9232,CUST-8519,SHOP-009,2024-07-25,2024-08-31,2024-09-01,theft,front,11754,Quebec City,0,0,2,I discovered my vehicle missing in Quebec City and reported it immediately.,Claim details and visible damage are coherent.,normal,0
CLM-00404,POL-4327,CUST-3893,SHOP-018,2024-02-10,2025-04-08,2025-04-13,collision,left side,3097,Montreal,1,0,2,I lost control briefly and damaged the left side of my vehicle in Montreal.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00383,POL-9098,CUST-2007,SHOP-003,2024-08-10,2025-01-29,2025-02-02,vandalism,front,2400,Sherbrooke,0,0,2,I found damage on the front of my vehicle while parked in Sherbrooke.,Claim details and visible damage are coherent.,normal,0
CLM-00196,POL-6680,CUST-9568,SHOP-017,2024-09-22,2025-04-10,2025-04-12,collision,left side,1983,Montreal,1,0,2,I lost control briefly and damaged the left side of my vehicle in Montreal.,Observed damage aligns with reported incident details.,normal,0
CLM-00429,POL-3634,CUST-9770,SHOP-010,2024-07-05,2025-01-30,2025-02-04,vandalism,rear,2460,Laval,0,0,2,My parked car was vandalized in Laval and the rear was damaged.,Observed damage aligns with reported incident details.,normal,0
CLM-00185,POL-5646,CUST-6533,SHOP-018,2025-08-14,2025-10-16,2025-10-20,theft,left side,10591,Montreal,0,0,2,My car was stolen in Montreal and later found with damage.,Claim details and visible damage are coherent.,normal,0
CLM-00707,POL-1369,CUST-4670,SHOP-027,2024-10-23,2024-10-25,2024-10-30,theft,left side,7908,Laval,1,0,28,My car was stolen in Laval and later found with damage.,Limited visible damage. Estimate appears elevated given observed condition.,early_policy,1
CLM-00412,POL-9686,CUST-2567,SHOP-020,2025-01-05,2026-02-28,2026-03-04,vandalism,rear,3701,Sherbrooke,0,0,2,I found damage on the rear of my vehicle while parked in Sherbrooke.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00659,POL-4131,CUST-1235,SHOP-012,2025-01-07,2025-01-10,2025-01-12,theft,front,10758,Quebec City,1,0,16,I discovered my vehicle missing in Quebec City and reported it immediately.,Limited visible damage. Estimate appears elevated given observed condition.,early_policy,1
CLM-00189,POL-7022,CUST-5902,SHOP-005,2025-01-26,2026-03-17,2026-03-18,vandalism,rear,2080,Gatineau,0,0,2,My parked car was vandalized in Gatineau and the rear was damaged.,Observed damage aligns with reported incident details.,normal,0
CLM-00122,POL-9793,CUST-1133,SHOP-028,2024-04-20,2025-08-04,2025-08-05,theft,left side,11257,Quebec City,1,0,2,My car was stolen in Quebec City and later found with damage.,Observed damage aligns with reported incident details.,normal,0
CLM-00619,POL-4704,CUST-8711,SHOP-013,2025-01-18,2025-01-26,2025-01-27,theft,rear,9942,Longueuil,0,0,29,I discovered my vehicle missing in Longueuil and reported it immediately.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00205,POL-6051,CUST-8591,SHOP-009,2024-05-02,2024-09-01,2024-09-02,vandalism,left side,3971,Montreal,0,1,2,I found damage on the left side of my vehicle while parked in Montreal.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00773,POL-6489,CUST-9765,SHOP-012,2024-04-24,2024-11-23,2024-11-26,vandalism,right side,11562,Laval,0,0,16,I found damage on the right side of my vehicle while parked in Laval.,Repair estimate is significantly above expected range for the reported damage.,inflated_repair,1
CLM-00269,POL-6285,CUST-1833,SHOP-025,2025-10-02,2026-01-17,2026-01-20,vandalism,left side,1798,Sherbrooke,1,0,2,My parked car was vandalized in Sherbrooke and the left side was damaged.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00163,POL-1430,CUST-2468,SHOP-012,2025-07-21,2025-09-12,2025-09-16,vandalism,left side,3077,Montreal,1,0,2,I found damage on the left side of my vehicle while parked in Montreal.,Observed damage aligns with reported incident details.,normal,0
CLM-00421,POL-3271,CUST-7641,SHOP-006,2025-01-14,2025-12-30,2026-01-02,vandalism,front,4369,Montreal,1,0,2,I found damage on the front of my vehicle while parked in Montreal.,Claim details and visible damage are coherent.,normal,0
CLM-00873,POL-5470,CUST-8505,SHOP-014,2024-03-23,2025-03-28,2025-04-01,collision,rear,4356,Montreal,4,18,56,I lost control briefly and damaged the rear of my vehicle in Montreal.,Repeated entity pattern detected across recent claims.,repeated_entity,1
CLM-00912,POL-9308,CUST-4985,SHOP-014,2024-05-20,2024-10-20,2024-10-20,collision,front,4136,Laval,2,18,56,I lost control briefly and damaged the front of my vehicle in Laval.,Claim linked to multiple prior files sharing the same contact number and repair shop.,repeated_entity,1
CLM-00347,POL-1869,CUST-8617,SHOP-021,2024-01-09,2024-04-16,2024-04-19,vandalism,left side,2975,Montreal,0,0,2,I found damage on the left side of my vehicle while parked in Montreal.,Claim details and visible damage are coherent.,normal,0
CLM-00296,POL-6641,CUST-7522,SHOP-024,2024-05-21,2024-10-19,2024-10-24,collision,right side,2162,Montreal,0,0,2,Another driver struck my vehicle on the right side while I was driving in Montreal.,Observed damage aligns with reported incident details.,normal,0
CLM-00265,POL-5374,CUST-3636,SHOP-010,2025-11-30,2026-01-31,2026-02-01,collision,left side,2335,Gatineau,0,0,2,I lost control briefly and damaged the left side of my vehicle in Gatineau.,Observed damage aligns with reported incident details.,normal,0
CLM-00609,POL-4539,CUST-6882,SHOP-009,2024-05-11,2024-05-21,2024-05-23,collision,left side,7578,Quebec City,0,0,37,I lost control briefly and damaged the left side of my vehicle in Quebec City.,Limited visible damage. Estimate appears elevated given observed condition.,early_policy,1
CLM-00366,POL-5254,CUST-9608,SHOP-019,2025-09-30,2026-01-28,2026-01-29,vandalism,right side,3628,Sherbrooke,1,0,2,I found damage on the right side of my vehicle while parked in Sherbrooke.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-01000,POL-9617,CUST-5699,SHOP-003,2025-07-06,2025-07-16,2025-07-18,collision,right side,11766,Quebec City,5,21,73,I was hit on the right side while driving in Quebec City.,"Claim reported shortly after policy start. Estimate is unusually high. Observed damage on the rear, inconsistent with claimant statement. Repair shop is linked to several flagged claims.",mixed,1
CLM-00690,POL-1673,CUST-9520,SHOP-023,2024-12-17,2024-12-21,2024-12-26,collision,right side,9373,Gatineau,1,0,27,I lost control briefly and damaged the right side of my vehicle in Gatineau.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00259,POL-6818,CUST-5783,SHOP-018,2025-06-18,2025-10-21,2025-10-26,collision,front,2472,Quebec City,0,0,2,Another driver struck my vehicle on the front while I was driving in Quebec City.,Claim details and visible damage are coherent.,normal,0
CLM-00556,POL-4717,CUST-4438,SHOP-016,2024-08-27,2026-03-08,2026-03-12,vandalism,right side,3389,Longueuil,0,0,2,I found damage on the right side of my vehicle while parked in Longueuil.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00295,POL-5281,CUST-9783,SHOP-014,2025-08-01,2025-12-02,2025-12-06,theft,right side,11184,Laval,1,0,2,I discovered my vehicle missing in Laval and reported it immediately.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00863,POL-1056,CUST-1957,SHOP-014,2025-01-31,2025-12-17,2025-12-17,collision,front,4108,Gatineau,2,20,56,I was driving in Gatineau when another vehicle hit the front of my car.,Repeated entity pattern detected across recent claims.,repeated_entity,1
CLM-00726,POL-4245,CUST-3947,SHOP-029,2025-04-09,2025-04-13,2025-04-14,collision,right side,8084,Gatineau,1,0,31,Another driver struck my vehicle on the right side while I was driving in Gatineau.,Limited visible damage. Estimate appears elevated given observed condition.,early_policy,1
CLM-00722,POL-3626,CUST-7034,SHOP-002,2024-10-24,2024-11-01,2024-11-06,vandalism,front,7267,Gatineau,0,0,21,I found damage on the front of my vehicle while parked in Gatineau.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00854,POL-1390,CUST-9048,SHOP-014,2024-11-25,2025-10-08,2025-10-11,vandalism,right side,2752,Quebec City,4,15,56,My parked car was vandalized in Quebec City and the right side was damaged.,Repeated entity pattern detected across recent claims.,repeated_entity,1
CLM-00718,POL-3036,CUST-6028,SHOP-019,2025-11-07,2025-11-15,2025-11-16,collision,right side,11747,Montreal,1,0,58,I was driving in Montreal when another vehicle hit the right side of my car.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00362,POL-8794,CUST-8434,SHOP-014,2025-03-28,2025-06-06,2025-06-10,vandalism,front,2802,Gatineau,1,0,2,My parked car was vandalized in Gatineau and the front was damaged.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00254,POL-7738,CUST-8220,SHOP-002,2024-03-05,2024-12-27,2025-01-01,theft,front,10771,Sherbrooke,0,0,2,I discovered my vehicle missing in Sherbrooke and reported it immediately.,Claim details and visible damage are coherent.,normal,0
CLM-00237,POL-5278,CUST-5895,SHOP-007,2024-06-02,2025-12-13,2025-12-14,collision,right side,2809,Sherbrooke,0,0,2,Another driver struck my vehicle on the right side while I was driving in Sherbrooke.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00589,POL-5534,CUST-2052,SHOP-011,2024-01-31,2025-10-21,2025-10-22,theft,right side,10511,Montreal,0,0,2,My car was stolen in Montreal and later found with damage.,Observed damage aligns with reported incident details.,normal,0
CLM-00033,POL-2269,CUST-5681,SHOP-008,2024-10-05,2025-04-24,2025-04-26,vandalism,front,2366,Laval,0,0,2,I found damage on the front of my vehicle while parked in Laval.,Claim details and visible damage are coherent.,normal,0
CLM-00552,POL-5834,CUST-8282,SHOP-017,2024-12-26,2025-05-22,2025-05-26,collision,right side,3598,Gatineau,1,0,2,I lost control briefly and damaged the right side of my vehicle in Gatineau.,Observed damage aligns with reported incident details.,normal,0
CLM-00040,POL-2669,CUST-5941,SHOP-028,2025-12-01,2026-03-17,2026-03-17,vandalism,front,3222,Gatineau,1,0,2,I found damage on the front of my vehicle while parked in Gatineau.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00557,POL-8372,CUST-1493,SHOP-012,2024-05-22,2026-02-02,2026-02-03,theft,front,9094,Sherbrooke,1,0,2,I discovered my vehicle missing in Sherbrooke and reported it immediately.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00826,POL-7988,CUST-1416,SHOP-018,2024-05-09,2024-09-12,2024-09-13,theft,front,12134,Gatineau,1,0,34,My car was stolen in Gatineau and later found with damage.,Repair estimate is significantly above expected range for the reported damage.,inflated_repair,1
CLM-00626,POL-6907,CUST-6920,SHOP-024,2025-08-26,2025-08-31,2025-09-02,theft,rear,10651,Longueuil,0,0,24,I discovered my vehicle missing in Longueuil and reported it immediately.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00316,POL-6068,CUST-4757,SHOP-008,2024-10-17,2025-06-30,2025-07-05,collision,rear,3957,Laval,0,0,2,I was driving in Laval when another vehicle hit the rear of my car.,Claim details and visible damage are coherent.,normal,0
CLM-00014,POL-4139,CUST-4116,SHOP-018,2025-04-04,2025-07-14,2025-07-17,collision,left side,3394,Laval,0,0,2,I lost control briefly and damaged the left side of my vehicle in Laval.,Claim details and visible damage are coherent.,normal,0
CLM-00839,POL-3761,CUST-6288,SHOP-001,2024-04-24,2024-12-04,2024-12-08,theft,left side,8741,Gatineau,0,0,33,I discovered my vehicle missing in Gatineau and reported it immediately.,"Observed damage appears moderate, but submitted estimate is unusually high.",inflated_repair,1
CLM-00499,POL-1994,CUST-9655,SHOP-001,2025-03-08,2026-01-27,2026-01-29,vandalism,front,2897,Sherbrooke,1,0,2,I found damage on the front of my vehicle while parked in Sherbrooke.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00703,POL-2740,CUST-9182,SHOP-030,2025-11-26,2025-11-29,2025-12-03,collision,rear,10066,Laval,1,0,12,I lost control briefly and damaged the rear of my vehicle in Laval.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00845,POL-5128,CUST-1451,SHOP-023,2025-09-04,2026-02-06,2026-02-09,vandalism,rear,12668,Laval,1,0,27,I found damage on the rear of my vehicle while parked in Laval.,"Observed damage appears moderate, but submitted estimate is unusually high.",inflated_repair,1
CLM-00596,POL-2481,CUST-6452,SHOP-028,2024-08-17,2024-11-21,2024-11-26,theft,right side,10877,Sherbrooke,1,0,2,I discovered my vehicle missing in Sherbrooke and reported it immediately.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00423,POL-6989,CUST-7003,SHOP-006,2025-10-25,2026-02-03,2026-02-08,collision,rear,2366,Longueuil,0,0,2,Another driver struck my vehicle on the rear while I was driving in Longueuil.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00206,POL-9412,CUST-1802,SHOP-022,2024-11-02,2025-04-14,2025-04-15,collision,right side,3352,Gatineau,0,0,2,I was driving in Gatineau when another vehicle hit the right side of my car.,Observed damage aligns with reported incident details.,normal,0
CLM-00472,POL-1555,CUST-5489,SHOP-028,2024-03-23,2025-09-07,2025-09-10,vandalism,right side,2862,Sherbrooke,1,0,2,My parked car was vandalized in Sherbrooke and the right side was damaged.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00608,POL-9750,CUST-8289,SHOP-005,2025-08-13,2025-08-17,2025-08-20,theft,left side,8763,Gatineau,0,0,35,My car was stolen in Gatineau and later found with damage.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00591,POL-6918,CUST-7528,SHOP-013,2025-09-17,2025-10-31,2025-11-02,theft,front,5025,Quebec City,1,0,2,My car was stolen in Quebec City and later found with damage.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00183,POL-6277,CUST-5055,SHOP-025,2025-11-23,2026-02-11,2026-02-14,collision,left side,3196,Quebec City,1,0,2,I was driving in Quebec City when another vehicle hit the left side of my car.,Claim details and visible damage are coherent.,normal,0
CLM-00047,POL-2680,CUST-1200,SHOP-019,2024-10-18,2025-07-15,2025-07-18,theft,left side,6510,Montreal,1,0,2,I discovered my vehicle missing in Montreal and reported it immediately.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00633,POL-7039,CUST-3430,SHOP-029,2025-05-05,2025-05-11,2025-05-13,collision,right side,8455,Laval,0,0,31,Another driver struck my vehicle on the right side while I was driving in Laval.,Limited visible damage. Estimate appears elevated given observed condition.,early_policy,1
CLM-00336,POL-6319,CUST-7090,SHOP-014,2025-10-10,2026-02-27,2026-03-04,theft,rear,9613,Gatineau,0,0,2,I discovered my vehicle missing in Gatineau and reported it immediately.,Claim details and visible damage are coherent.,normal,0
CLM-00862,POL-3348,CUST-9964,SHOP-003,2024-02-28,2024-07-21,2024-07-26,collision,right side,3621,Gatineau,4,21,73,Another driver struck my vehicle on the right side while I was driving in Gatineau.,Repeated entity pattern detected across recent claims.,repeated_entity,1
CLM-00235,POL-5135,CUST-6004,SHOP-023,2025-12-27,2026-03-08,2026-03-10,theft,right side,11976,Longueuil,1,0,2,I discovered my vehicle missing in Longueuil and reported it immediately.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00478,POL-8066,CUST-4385,SHOP-020,2024-08-08,2025-06-23,2025-06-28,vandalism,rear,3513,Laval,1,0,2,My parked car was vandalized in Laval and the rear was damaged.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00995,POL-7392,CUST-5777,SHOP-003,2025-02-03,2025-02-05,2025-02-06,theft,left side,11380,Laval,4,21,73,I was hit on the left side while driving in Laval.,"Claim reported shortly after policy start. Estimate is unusually high. Observed damage on the right side, inconsistent with claimant statement. Repair shop is linked to several flagged claims.",mixed,1
CLM-00321,POL-7765,CUST-4080,SHOP-028,2024-03-11,2024-10-13,2024-10-14,theft,front,10217,Quebec City,1,0,2,I discovered my vehicle missing in Quebec City and reported it immediately.,Claim details and visible damage are coherent.,normal,0
CLM-00232,POL-8478,CUST-1828,SHOP-030,2025-01-04,2026-01-29,2026-01-30,theft,left side,11746,Quebec City,1,0,2,My car was stolen in Quebec City and later found with damage.,Claim details and visible damage are coherent.,normal,0
CLM-00178,POL-8939,CUST-3236,SHOP-007,2025-01-28,2025-12-11,2025-12-15,vandalism,right side,3175,Sherbrooke,1,0,2,I found damage on the right side of my vehicle while parked in Sherbrooke.,Claim details and visible damage are coherent.,normal,0
CLM-00528,POL-3644,CUST-9750,SHOP-019,2024-03-12,2025-02-12,2025-02-12,theft,front,11803,Laval,1,0,2,I discovered my vehicle missing in Laval and reported it immediately.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00443,POL-6940,CUST-3277,SHOP-027,2025-03-28,2026-02-26,2026-03-02,theft,rear,10815,Longueuil,0,0,2,My car was stolen in Longueuil and later found with damage.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00372,POL-2838,CUST-7131,SHOP-026,2024-02-08,2024-10-01,2024-10-01,theft,front,11545,Quebec City,0,0,2,My car was stolen in Quebec City and later found with damage.,Observed damage aligns with reported incident details.,normal,0
CLM-00034,POL-7678,CUST-6421,SHOP-018,2025-04-22,2025-12-20,2025-12-20,collision,right side,3095,Gatineau,0,0,2,Another driver struck my vehicle on the right side while I was driving in Gatineau.,Observed damage aligns with reported incident details.,normal,0
